,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13,j14,j15,j16,j17,j18,j19,j20,j21
N1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
N2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
N3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
N4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
N5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
N6,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
N7,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
N8,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
N9,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
N10,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
